name,province,address,longitude,latitude,overview
群岛美术馆,浙江,浙江省舟山市定海区干览镇,,,新建村乡村艺术馆以红色为建筑主色调，以现代风为主基调，分为上下两层。主要包括艺术品序厅、文创展厅、渔民画展厅，现场展出渔民画、渔民画衍生品及20位舟山画家画舟山美术作品等，将海岛乡村与文艺美学相融合。
溪里方美术馆,浙江,浙江省宁波市象山,121.869251,29.476826,资料暂缺
乡村七九八文化创意园美术馆,浙江,浙江省丽水市松阳县叶村乡河头村,119.4595,28.440889,资料暂缺
不老村美术馆,江苏,江苏省南京市浦口区不老村,,,不老村美术馆坐落于当地旅游度假村中，于2019年开馆，旨在成为不老村以及浦口区面向大众的一扇窗，展示南京乃至全国美丽乡村优秀的文化艺术。
格冠农业生态园美术馆,江苏,江苏省南京市浦口区盘城街道永丰社区,118.694148,32.199425,2016年，由江苏格冠农业生态园主建的乡村美术馆开馆，该馆主要以传统乡村风格为特色，旨在让艺术回归自然，回归生活，融合旅游文化，增强旅游文化新的内涵。
陈履生美术馆,江苏,江苏省镇江市扬中市新坝镇新治村,119.745374,32.234781,2020 年，原国家博物馆副馆长陈履生回到家乡江苏扬中新坝镇新治村，在村委会的旧址上建了陈履生博物馆，免费对公众开放。这里，藏品都是裸展的，人和动物和谐共生。他说，“有一种说法，博物馆就是天堂的样子，
可美术馆,上海,上海市青浦区练塘古镇,121.053846,31.11126,可·美术馆位于朱家角和练塘两个江南古镇之间，四周是原生态的农田，国际化、现代化，艺术资源充足。
富安乡村美术馆,上海,上海市崇明区,121.397662,31.623863,扎根崇明乡土的乡村美术馆，厚植乡土人文内涵，链接城乡艺术资源，培育赋能乡村美育，推动在地艺术乡建和社区营造。
嘉源海美术馆,上海,上海市马陆镇大裕村,121.316233,31.381295,嘉源海美术馆，位于“中国美丽休闲乡村”——上海市嘉定区马陆镇大裕村，是由世界著名建筑设计师安藤忠雄设计，坐落于自然之中的当代美术馆。以当代海派文化为主题，贯穿历史与当代，聚焦本土与全球，为公众提供一个
仙人冲美术馆,安徽,安徽省六安市霍山县,116.348274,31.409668,脱胎于三线工厂，服务于前来大别山进行创作的艺术家群体。
崔岗艺术馆,安徽,安徽省合肥市崔岗艺术小镇,117.081649,31.947809,填补了安徽当代艺术馆空白，是整个安徽，乃至全国首家乡村当代艺术馆。该展馆建筑采用清水混凝土和清水红砖结合的乡村“谷仓”LOFT风格，设计者巧妙地利用空间，并运用灯光为展品增添极强的视觉冲击力。
徽美术馆,安徽,安徽省黄山市黟县,117.938139,29.92477,致力于以多维度全新形态来辅助乡村振兴，以全新的空间意识来展现艺术与乡愁的融合，同时传承发扬优良的传统文化及千百年来的黄山风情。
豫见永丰艺术馆,安徽,安徽省黄山市永丰乡,117.970824,30.425654,以美术文化带动旅游文化，继而带领村民们脱贫致富。将写生经济和乡村振兴相结合，落实文艺扶贫工作，聚焦精准扶贫、推进乡村振兴战略。
小岞美术馆,福建,福建省泉州市惠安县小岞镇滨海湾西300米,118.984355,24.962101,中外艺术家采风写生和展览的基地，艺术院校师生体验原生态海岛渔村生活、惠女风情的场所，推广和传播惠女文化的平台。
试剑村美术馆,福建,福建省泉州市惠安县辋川镇试剑村,118.813895,25.090497, 试剑美术馆是加强文化阵地建设，打通文化惠民“最后一公里”的有力作为，不仅为群众近距离接触、感受中国优秀传统文化提供了良好平台，进一步促进文化“种”在基层，也为试剑村打造“艺术乡村”品牌增添了新的亮点
